frame_index,X_pose,X_step
0,"[-1.1677907705307007, -0.9078453183174133, 0.4684355854988098, 1.20063316822052, -2.085904836654663, -2.5900766849517822, -6.740721702575684, -6.365434169769287, -0.42832857370376587, -0.1741039752960205, -0.15978991985321045, -0.16150951385498047, -0.14100401103496552, -0.14839385449886322, -0.18374493718147278, -0.19280710816383362, -0.3895404636859894, -0.3597681224346161, -0.35388967394828796, -0.3127957880496979, -0.21782419085502625, -0.21567665040493011, -0.11417237669229507, -0.111834816634655, -0.10085359215736389, -0.0999535545706749]","[1.0, 2.395318453249908e-25, 0.0, 0.0]"
1,"[-1.2231206893920898, -0.9337430596351624, 0.3867834210395813, 1.2161518335342407, -1.969234824180603, -2.485074281692505, -6.577867031097412, -5.879817485809326, -0.42775681614875793, -0.1741039752960205, -0.15978991985321045, -0.16150951385498047, -0.14100401103496552, -0.14839385449886322, -0.18374493718147278, -0.19280710816383362, -0.3895404636859894, -0.3597681224346161, -0.35388967394828796, -0.3127957880496979, -0.21782419085502625, -0.21567665040493011, -0.11417237669229507, -0.111834816634655, -0.10085359215736389, -0.0999535545706749]","[1.0, 2.7721614984975444e-25, 0.0, 0.0]"
2,"[-1.2156569957733154, -0.9087209105491638, 0.4170820415019989, 1.2394261360168457, -1.9438952207565308, -2.5195834636688232, -7.0015459060668945, -6.308648109436035, -0.4331812560558319, -0.0641150251030922, -0.11179150640964508, -0.08364126086235046, 0.2115108221769333, -0.05711539834737778, -0.1781848520040512, 0.24616152048110962, 0.6554846167564392, -0.18668147921562195, 0.3360263705253601, 0.007661035750061274, 0.026194386184215546, 0.596619188785553, 0.05611107870936394, 0.1457279473543167, -0.00718211755156517, 0.2519611120223999]","[1.0, 3.208291138558033e-25, 0.0, 0.0]"
3,"[-1.2479889392852783, -0.9047597646713257, 0.3387446403503418, 1.247541904449463, -1.9363632202148438, -2.603275775909424, -7.066209316253662, -6.092279434204102, -0.4262085556983948, 0.045043908059597015, -0.08903631567955017, 0.02251334674656391, 0.11047607660293579, 0.46855971217155457, 0.022758040577173233, 0.5245945453643799, -0.11591815948486328, -0.14557500183582306, -0.10657128691673279, -0.045314837247133255, 0.11143037676811218, -0.10470131784677505, -0.10352494567632675, -0.09575258940458298, 0.09140302985906601, 0.19468796253204346]","[1.0, 3.7130346675594808e-25, 0.0, 0.0]"
4,"[-1.2561763525009155, -0.8856843113899231, 0.35990527272224426, 1.2802153825759888, -1.9795315265655518, -2.6705307960510254, -7.271116256713867, -6.266661167144775, -0.42345285415649414, -0.17231260240077972, 0.03676612302660942, -0.12174217402935028, 0.11940714716911316, 0.25653862953186035, 0.21031153202056885, 0.5089834332466125, 0.36767029762268066, -0.06239864230155945, 0.04270308464765549, -0.14489373564720154, 0.3423730731010437, 0.1457488238811493, 0.010921493172645569, 0.035674676299095154, 0.01622612401843071, -0.006675734184682369]","[1.0, 4.2971871539517715e-25, 0.0, 0.0]"
5,"[-1.2365763187408447, -0.8739878535270691, 0.37640225887298584, 1.235241413116455, -2.110110282897949, -2.8215296268463135, -7.079679489135742, -6.675823211669922, -0.4357336759567261, 0.13842222094535828, 0.13178211450576782, 0.10141621530056, 0.21012988686561584, 0.013726070523262024, 0.3050084412097931, -0.1424470692873001, 0.07219522446393967, -0.2974664270877838, 0.08966431021690369, -0.0947866216301918, 0.035553835332393646, 0.16176557540893555, 0.10944194346666336, 0.0775066539645195, -0.0290195494890213, 0.20166784524917603]","[1.0, 4.973241442764244e-25, 0.0, 0.0]"
6,"[-1.290921688079834, -0.8961829543113708, 0.32414597272872925, 1.2189828157424927, -2.069591760635376, -2.86147403717041, -6.401646137237549, -6.955865859985352, -0.40457168221473694, 0.25681138038635254, 0.17757181823253632, 0.2336190938949585, -0.11387491971254349, -0.14475801587104797, 0.3731762170791626, 0.012820682488381863, 0.3433937728404999, -0.13353800773620605, 0.2775922119617462, -0.060605309903621674, -0.04025555029511452, 0.18822595477104187, 0.07557246834039688, 0.0826689749956131, -0.054991714656353, -0.0460875928401947]","[1.0, 5.7556553822373375e-25, 0.0, 0.0]"
7,"[-1.345571517944336, -0.8879615068435669, 0.32141605019569397, 1.2324845790863037, -2.022042989730835, -2.731614112854004, -6.410732269287109, -6.871379852294922, -0.3286575376987457, -0.019334489479660988, 0.09759895503520966, -0.07113604247570038, 0.3692534565925598, -0.09337513148784637, -0.10073357820510864, -0.041677314788103104, 0.4671868085861206, -0.06533704698085785, 0.23868609964847565, 0.17527174949645996, 0.2328401803970337, -0.10859312117099762, -0.01976802758872509, -0.006663484498858452, 0.09615626931190491, 0.06760837137699127]","[1.0, 6.661162191284986e-25, 0.0, 0.0]"
8,"[-1.314270257949829, -0.8830552697181702, 0.27816709876060486, 1.2843126058578491, -1.9887158870697021, -2.6798160076141357, -5.927134037017822, -5.903034210205078, -0.3646867871284485, 0.1594214141368866, 0.3084079623222351, 0.36858069896698, 0.3481408655643463, -0.1130082830786705, 0.4263952970504761, 0.31592559814453125, 0.5966377854347229, -0.12592476606369019, 0.40407851338386536, -0.08417241275310516, -0.2076658308506012, 1.4084473848342896, 0.048732779920101166, 0.22253553569316864, 0.228660449385643, 0.3767181932926178]","[1.0, 7.709128898168431e-25, 0.0, 0.0]"
9,"[-1.352091670036316, -0.8820061683654785, 0.25304943323135376, 1.283571720123291, -1.9445557594299316, -2.621743679046631, -6.030272483825684, -5.757731914520264, -0.32000434398651123, -0.0979817733168602, -0.040246136486530304, -0.05466821789741516, 0.2169012725353241, 0.047969795763492584, 0.06021888181567192, 0.19243459403514862, 0.31118232011795044, -0.12113610655069351, 0.01020123902708292, 0.3448779582977295, 0.5516078472137451, 1.5033726692199707, 0.006000281311571598, 0.006683646701276302, 0.13546089828014374, 0.487145334482193]","[1.0, 8.921964576014673e-25, 0.0, 0.0]"
