frame_idex,X_pose,X_step,X_elem,X_env,Y_type,Y_urgency,Y_eta
0,"[0.36096999049186707, 0.40297043323516846, -0.11216960847377777, 0.9980869293212891, 0.37645232677459717, 0.3804091215133667, -0.1606648862361908, 0.9981632828712463, 0.37895894050598145, 0.38274461030960083, -0.16068217158317566, 0.9987335801124573, 0.38156479597091675, 0.3854040503501892, -0.1607207953929901, 0.9981868863105774, 0.3747046887874603, 0.3777877688407898, -0.11399968713521957, 0.9984883069992065, 0.37596243619918823, 0.3779293894767761, -0.11402180045843124, 0.9989199638366699, 0.37741780281066895, 0.3780924081802368, -0.11418686807155609, 0.9986878037452698, 0.3997350335121155, 0.4200415015220642, -0.27174699306488037, 0.9992222785949707, 0.3963802456855774, 0.410370796918869, -0.06259632110595703, 0.9992812275886536, 0.3622494339942932, 0.44113287329673767, -0.14225567877292633, 0.9981836676597595, 0.3600737750530243, 0.43710821866989136, -0.08218953758478165, 0.9983505010604858, 0.3506716787815094, 0.5934381484985352, -0.34411972761154175, 0.997356653213501, 0.4294792115688324, 0.5941898226737976, 0.08720219135284424, 0.9988633394241333, 0.2542877197265625, 0.7589058876037598, -0.2519257068634033, 0.7447050213813782, 0.3472363352775574, 0.7778543829917908, 0.2556241452693939, 0.08627595007419586, 0.2277168333530426, 0.6548057794570923, -0.0039911107160151005, 0.6105669736862183, 0.2930929362773895, 0.6811662912368774, 0.3634819984436035, 0.06418466567993164, 0.20397166907787323, 0.6149265766143799, -0.004687818232923746, 0.5527120232582092, 0.2916019558906555, 0.6790468692779541, 0.38570135831832886, 0.09076965600252151, 0.2176298201084137, 0.6006308794021606, -0.0008801606600172818, 0.5728752017021179, 0.2892528772354126, 0.6640214323997498, 0.36702466011047363, 0.0989188700914383, 0.22904200851917267, 0.6136455535888672, 0.006159431301057339, 0.5685506463050842, 0.2898309528827667, 0.6745277643203735, 0.3564063310623169, 0.11617600172758102, 0.3337860405445099, 1.0079138278961182, -0.118385449051857, 0.45166704058647156, 0.33770859241485596, 1.0069369077682495, 0.11931784451007843, 0.6751852035522461, 0.3260940909385681, 1.2794283628463745, 0.030506964772939682, 0.029163679108023643, 0.311596542596817, 1.2735553979873657, 0.24380937218666077, 0.02226576767861843, 0.3173927068710327, 1.5289815664291382, 0.268242746591568, 0.004007753450423479, 0.2962190806865692, 1.5250821113586426, 0.4090256690979004, 0.006516128312796354, 0.32843711972236633, 1.575143814086914, 0.28802838921546936, 0.012350435368716717, 0.3006320893764496, 1.5686644315719604, 0.42094215750694275, 0.019433090463280678, 0.28056687116622925, 1.5499320030212402, 0.2043171226978302, 0.007667412981390953, 0.258561372756958, 1.555956482887268, 0.33577871322631836, 0.00898621417582035]",3,[],[],0,0.14464107155799866,3.867000102996826
1,"[0.3607136607170105, 0.40082356333732605, 0.019157417118549347, 0.998062789440155, 0.3748036026954651, 0.3797178864479065, -0.03688059002161026, 0.998229444026947, 0.3764086961746216, 0.38174358010292053, -0.03683457523584366, 0.9987512826919556, 0.3778481185436249, 0.3840162456035614, -0.036914993077516556, 0.9982470273971558, 0.37457042932510376, 0.377573698759079, 0.001854863716289401, 0.9985211491584778, 0.37596985697746277, 0.3778495490550995, 0.0018729178700596094, 0.9989030361175537, 0.3776652216911316, 0.37809470295906067, 0.001789613044820726, 0.9986883401870728, 0.3912108242511749, 0.4160946309566498, -0.2023073434829712, 0.9992351531982422, 0.396415650844574, 0.4103694558143616, -0.02934417687356472, 0.9992780685424805, 0.3612569570541382, 0.4372193217277527, -0.03145015239715576, 0.9982039928436279, 0.3601119816303253, 0.43575799465179443, 0.018205421045422554, 0.9983568787574768, 0.3290017247200012, 0.5929073095321655, -0.3043443262577057, 0.9975316524505615, 0.4403590261936188, 0.5954428315162659, 0.06504479050636292, 0.9988476037979126, 0.24247577786445618, 0.7599209547042847, -0.21115651726722717, 0.7599356770515442, 0.3920821249485016, 0.7861795425415039, 0.24319986999034882, 0.08923085778951645, 0.2297101765871048, 0.6480029225349426, 0.06086825206875801, 0.6274600028991699, 0.3274630010128021, 0.7114014625549316, 0.4405534267425537, 0.06289695203304291, 0.2052500993013382, 0.6092860102653503, 0.06681930273771286, 0.5693016052246094, 0.3222038447856903, 0.6830560564994812, 0.4783640503883362, 0.08909694850444794, 0.21812069416046143, 0.5934311747550964, 0.07380787283182144, 0.5898576974868774, 0.3180295526981354, 0.6712766885757446, 0.4632679522037506, 0.09675649553537369, 0.2293936312198639, 0.6056667566299438, 0.07074631750583649, 0.5857872366905212, 0.3178712725639343, 0.6828128695487976, 0.4371245801448822, 0.11464649438858032, 0.30225667357444763, 1.002771019935608, -0.10733840614557266, 0.4671311378479004, 0.35507529973983765, 1.004224181175232, 0.10839174687862396, 0.6809861063957214, 0.31743180751800537, 1.2940300703048706, 0.03190980479121208, 0.027417689561843872, 0.31137630343437195, 1.3048194646835327, 0.19411921501159668, 0.02111099660396576, 0.30758851766586304, 1.5604361295700073, 0.2443685531616211, 0.003728460520505905, 0.29231783747673035, 1.5780675411224365, 0.32618647813796997, 0.006010829005390406, 0.3194446265697479, 1.60088312625885, 0.26264771819114685, 0.011527431197464466, 0.2971044182777405, 1.6206865310668945, 0.3340716063976288, 0.01782115362584591, 0.27240148186683655, 1.588794231414795, 0.18326720595359802, 0.007269422058016062, 0.2539229691028595, 1.606135606765747, 0.2346668541431427, 0.008272364735603333]",3,[],[],0,0.1470719575881958,3.8336665630340576
2,"[0.35910478234291077, 0.4005511403083801, 0.0574612095952034, 0.9977152943611145, 0.36821168661117554, 0.3786369860172272, -0.0017824642127379775, 0.9980709552764893, 0.3673701584339142, 0.3797156810760498, -0.001803683815523982, 0.9985879063606262, 0.36619776487350464, 0.38075557351112366, -0.0019264162983745337, 0.9980737566947937, 0.3732165992259979, 0.37757039070129395, 0.02971051260828972, 0.9983376860618591, 0.3757968842983246, 0.37798380851745605, 0.029692957177758217, 0.9986804723739624, 0.3778894543647766, 0.3786452114582062, 0.029552051797509193, 0.9984337091445923, 0.37174341082572937, 0.40656933188438416, -0.17998424172401428, 0.9991384744644165, 0.3960784375667572, 0.41028645634651184, -0.03577665239572525, 0.9991647601127625, 0.3561297059059143, 0.4338221251964569, 0.003542677965015173, 0.9980523586273193, 0.3595433831214905, 0.4351598024368286, 0.04359894618391991, 0.9982234835624695, 0.30303293466567993, 0.590053915977478, -0.2804754376411438, 0.9975597262382507, 0.44285091757774353, 0.5965840816497803, 0.035038553178310394, 0.9986969232559204, 0.22010433673858643, 0.7617976665496826, -0.19041535258293152, 0.777512788772583, 0.3916550874710083, 0.7923214435577393, 0.22741985321044922, 0.10160399973392487, 0.23002341389656067, 0.6377909183502197, 0.06504672765731812, 0.6469798684120178, 0.3370661735534668, 0.7065073251724243, 0.4863261580467224, 0.06401195377111435, 0.21146062016487122, 0.6002065539360046, 0.07528835535049438, 0.5867674946784973, 0.3327838182449341, 0.658514678478241, 0.5353969931602478, 0.08920782804489136, 0.22612154483795166, 0.5855609774589539, 0.08304981887340546, 0.6054462790489197, 0.3253757655620575, 0.6464518904685974, 0.5277888178825378, 0.09589545428752899, 0.23237848281860352, 0.5985719561576843, 0.07536111772060394, 0.6011255383491516, 0.3242505192756653, 0.660351574420929, 0.4882480204105377, 0.11480648070573807, 0.2826383411884308, 1.0019309520721436, -0.08843974769115448, 0.5076761841773987, 0.36335378885269165, 1.0043729543685913, 0.08919019997119904, 0.7052786350250244, 0.30121907591819763, 1.29328453540802, 0.053306691348552704, 0.03384052962064743, 0.3113781213760376, 1.3178671598434448, 0.175434410572052, 0.027383456006646156, 0.2920760214328766, 1.5604751110076904, 0.24925465881824493, 0.004183235578238964, 0.2833382189273834, 1.5950372219085693, 0.30564016103744507, 0.006593006197363138, 0.30243486166000366, 1.6025904417037964, 0.26818177103996277, 0.012243710458278656, 0.2838270962238312, 1.6395437717437744, 0.3144037127494812, 0.01855877786874771, 0.262553870677948, 1.58505380153656, 0.21250379085540771, 0.007637997157871723, 0.24891297519207, 1.6181066036224365, 0.23192951083183289, 0.00827279407531023]",3,[],[],0,0.14954368770122528,3.800333261489868
3,"[0.3588940501213074, 0.4003300666809082, 0.059111665934324265, 0.9974950551986694, 0.36554330587387085, 0.37693431973457336, -0.0007305500330403447, 0.9979538917541504, 0.36353814601898193, 0.37732040882110596, -0.0007666735327802598, 0.9984715580940247, 0.36117756366729736, 0.3776819109916687, -0.0008835500339046121, 0.9979537129402161, 0.37304240465164185, 0.37721994519233704, 0.029125934466719627, 0.998196542263031, 0.37591177225112915, 0.3779023587703705, 0.02909269370138645, 0.9985049962997437, 0.3789531886577606, 0.37865859270095825, 0.02894548512995243, 0.9982198476791382, 0.36265990138053894, 0.39993759989738464, -0.17962442338466644, 0.9990733861923218, 0.39588356018066406, 0.40938666462898254, -0.04005885496735573, 0.9990653991699219, 0.3546045422554016, 0.4320925772190094, 0.005361812189221382, 0.9979634881019592, 0.3596048653125763, 0.4348296821117401, 0.04323240742087364, 0.9981400370597839, 0.2933123707771301, 0.5845555067062378, -0.2808394730091095, 0.9975695013999939, 0.44286173582077026, 0.5973392128944397, 0.020686674863100052, 0.9985302686691284, 0.21430468559265137, 0.7626441121101379, -0.18934902548789978, 0.7922304272651672, 0.38963451981544495, 0.7942243814468384, 0.2224765121936798, 0.11378885805606842, 0.23112225532531738, 0.6370344758033752, 0.06771039217710495, 0.6541998982429504, 0.34032291173934937, 0.7029370069503784, 0.5054867267608643, 0.06201593577861786, 0.2178318202495575, 0.5965259671211243, 0.07914213836193085, 0.5895717144012451, 0.3355168402194977, 0.6595701575279236, 0.556357741355896, 0.08568475395441055, 0.23291869461536407, 0.5856432318687439, 0.08575370162725449, 0.6065818071365356, 0.3271930515766144, 0.6464143991470337, 0.5493938326835632, 0.09163934737443924, 0.23689565062522888, 0.5974839925765991, 0.07748116552829742, 0.6022534370422363, 0.325584352016449, 0.6595469117164612, 0.5081278085708618, 0.11047675460577011, 0.2771976590156555, 1.0007386207580566, -0.08256066590547562, 0.539132297039032, 0.36365386843681335, 1.0043737888336182, 0.08322882652282715, 0.7243148684501648, 0.29203104972839355, 1.293078899383545, 0.07962232828140259, 0.041655197739601135, 0.3103795647621155, 1.3198093175888062, 0.18686053156852722, 0.03751394897699356, 0.28290948271751404, 1.556689739227295, 0.29012051224708557, 0.005093964282423258, 0.2768550515174866, 1.599796175956726, 0.33062368631362915, 0.008443371392786503, 0.2920990586280823, 1.5996395349502563, 0.31066733598709106, 0.013877887278795242, 0.2754164934158325, 1.645693302154541, 0.3408728241920471, 0.022040272131562233, 0.2568501830101013, 1.5803568363189697, 0.2661243677139282, 0.008753148838877678, 0.24646267294883728, 1.624022126197815, 0.2610699534416199, 0.009151329286396503]",3,[],[],0,0.1520569771528244,3.7669999599456787
4,"[0.35861238837242126, 0.4005323648452759, 0.07432373613119125, 0.9973161220550537, 0.36358028650283813, 0.37691551446914673, 0.014188448898494244, 0.9978866577148438, 0.36116403341293335, 0.3771708309650421, 0.014170808717608452, 0.9983922243118286, 0.35850775241851807, 0.37733396887779236, 0.014075221493840218, 0.9978976845741272, 0.3726249933242798, 0.37758728861808777, 0.042892664670944214, 0.9980916380882263, 0.37590938806533813, 0.37865567207336426, 0.04287777841091156, 0.9983400702476501, 0.37925654649734497, 0.3799237012863159, 0.042745042592287064, 0.9980285167694092, 0.35946983098983765, 0.39871397614479065, -0.1682136207818985, 0.9990357160568237, 0.3951459228992462, 0.40941280126571655, -0.04035457596182823, 0.9989592432975769, 0.3534691035747528, 0.43181467056274414, 0.01886451244354248, 0.9979031085968018, 0.3596149981021881, 0.43486160039901733, 0.05509353429079056, 0.9980584979057312, 0.2877001464366913, 0.5832661390304565, -0.2767634689807892, 0.9976434111595154, 0.4426819682121277, 0.5980189442634583, 0.02091008983552456, 0.9983888268470764, 0.21420791745185852, 0.7627938389778137, -0.1858828365802765, 0.8037554025650024, 0.3942628502845764, 0.7910407781600952, 0.2270677089691162, 0.12463785707950592, 0.23190931975841522, 0.6378447413444519, 0.07656978070735931, 0.6546970009803772, 0.3444288969039917, 0.6839633584022522, 0.552371621131897, 0.06033634766936302, 0.22149379551410675, 0.596101701259613, 0.09000848233699799, 0.587490975856781, 0.3387024402618408, 0.639670729637146, 0.608506977558136, 0.08271733671426773, 0.236068457365036, 0.5862616896629333, 0.09409867227077484, 0.6040416955947876, 0.32987865805625916, 0.6260530948638916, 0.6020793914794922, 0.08807528018951416, 0.2393723726272583, 0.5981244444847107, 0.08550849556922913, 0.5997281670570374, 0.3284165561199188, 0.6400068998336792, 0.555914044380188, 0.10696254670619965, 0.2747350335121155, 1.0001429319381714, -0.07973140478134155, 0.5602387189865112, 0.3638482689857483, 1.0043480396270752, 0.080421581864357, 0.7357970476150513, 0.291851669549942, 1.2925976514816284, 0.07868807762861252, 0.04358972981572151, 0.30896317958831787, 1.3274857997894287, 0.180729478597641, 0.042382657527923584, 0.28524771332740784, 1.5577576160430908, 0.2874999940395355, 0.005298543721437454, 0.27798140048980713, 1.6116639375686646, 0.3196982741355896, 0.0088393809273839, 0.2944623827934265, 1.600612759590149, 0.3074534237384796, 0.014112872071564198, 0.27700963616371155, 1.6574466228485107, 0.3291540741920471, 0.022312989458441734, 0.2594868540763855, 1.5811346769332886, 0.25826194882392883, 0.00911741890013218, 0.2470361441373825, 1.637241244316101, 0.24790100753307343, 0.009078322909772396]",3,[],[],0,0.1546124964952469,3.7336666584014893
5,"[0.3657193183898926, 0.4003960192203522, 0.07501660287380219, 0.9971206784248352, 0.36406615376472473, 0.37629997730255127, 0.017987031489610672, 0.9977798461914062, 0.362580269575119, 0.37610191106796265, 0.017877472564578056, 0.9982762932777405, 0.3596455752849579, 0.3758445680141449, 0.01777835190296173, 0.9977938532829285, 0.37672629952430725, 0.3776007890701294, 0.03847649320960045, 0.9979599714279175, 0.3813716769218445, 0.37884724140167236, 0.03839649632573128, 0.9981457591056824, 0.38622987270355225, 0.38050439953804016, 0.03825625032186508, 0.9977997541427612, 0.35566702485084534, 0.39556461572647095, -0.15702900290489197, 0.9989866614341736, 0.3973861634731293, 0.4094202220439911, -0.060739606618881226, 0.9988640546798706, 0.3565445840358734, 0.4303038418292999, 0.022799674421548843, 0.9978594183921814, 0.3684194087982178, 0.4344879984855652, 0.04863876849412918, 0.9980015158653259, 0.28030428290367126, 0.5807486772537231, -0.25172027945518494, 0.9974409341812134, 0.4420398771762848, 0.5980089902877808, -0.015148078091442585, 0.997944176197052, 0.20869171619415283, 0.7637277245521545, -0.15371322631835938, 0.8079467415809631, 0.3933255076408386, 0.7871917486190796, 0.1941894292831421, 0.13616853952407837, 0.2333286702632904, 0.6411513686180115, 0.10323408991098404, 0.6293008923530579, 0.343421995639801, 0.6780088543891907, 0.5053544044494629, 0.059151340276002884, 0.22845414280891418, 0.5974950194358826, 0.11854372918605804, 0.5621936917304993, 0.33728235960006714, 0.6370898485183716, 0.5581241846084595, 0.07955572754144669, 0.24398711323738098, 0.5890525579452515, 0.12134436517953873, 0.5784075856208801, 0.32728442549705505, 0.6226675510406494, 0.5514479875564575, 0.08440317213535309, 0.24634894728660583, 0.6020616292953491, 0.1109955906867981, 0.5732817649841309, 0.32605135440826416, 0.6364725232124329, 0.5087510347366333, 0.10295724868774414, 0.27052152156829834, 0.9985036253929138, -0.06903272867202759, 0.5785613059997559, 0.36359357833862305, 1.0038201808929443, 0.06944216787815094, 0.7458662390708923, 0.2845447063446045, 1.2804944515228271, 0.095249705016613, 0.06724423170089722, 0.3091081976890564, 1.32290780544281, 0.1797909438610077, 0.06993481516838074, 0.279869019985199, 1.5522336959838867, 0.3067063093185425, 0.00913489144295454, 0.2773030400276184, 1.605858564376831, 0.32034632563591003, 0.014748136512935162, 0.28780725598335266, 1.5960524082183838, 0.3267960846424103, 0.020422400906682014, 0.27453529834747314, 1.653152346611023, 0.3311149477958679, 0.03383711352944374, 0.2586861848831177, 1.5757663249969482, 0.29601576924324036, 0.011230912059545517, 0.2488977015018463, 1.6306184530258179, 0.2619369924068451, 0.011587326414883137]",3,[],[],0,0.15721096098423004,3.7003333568573
6,"[0.36731329560279846, 0.3993605673313141, 0.11080342531204224, 0.9969461560249329, 0.36453500390052795, 0.3742743134498596, 0.05248742178082466, 0.9976639747619629, 0.3618873059749603, 0.37371495366096497, 0.0523543544113636, 0.9981342554092407, 0.3576210141181946, 0.3732767701148987, 0.05221782997250557, 0.9976664781570435, 0.37751245498657227, 0.376848429441452, 0.07109544426202774, 0.9978365898132324, 0.3826691210269928, 0.37844330072402954, 0.07102061063051224, 0.997960090637207, 0.3882165253162384, 0.38036906719207764, 0.07086066156625748, 0.9976055026054382, 0.3483771085739136, 0.3929077088832855, -0.13685014843940735, 0.9989336729049683, 0.39800888299942017, 0.40899786353111267, -0.0586596354842186, 0.9987682700157166, 0.3568704128265381, 0.4281994700431824, 0.053322602063417435, 0.9977427124977112, 0.37042415142059326, 0.43326374888420105, 0.07666774094104767, 0.9979130625724792, 0.2730259597301483, 0.5777584314346313, -0.24128654599189758, 0.9969462156295776, 0.4407970905303955, 0.5979025959968567, -0.02749081887304783, 0.9973341822624207, 0.20667365193367004, 0.7643729448318481, -0.1461603343486786, 0.8081472516059875, 0.39388221502304077, 0.7868180871009827, 0.1699681580066681, 0.14573392271995544, 0.2402367889881134, 0.6453623175621033, 0.1329207718372345, 0.5885804295539856, 0.3409833610057831, 0.7326470017433167, 0.48108547925949097, 0.05534761771559715, 0.24437466263771057, 0.5999377965927124, 0.14830371737480164, 0.5234125256538391, 0.3328354060649872, 0.7167753577232361, 0.525016188621521, 0.07387789338827133, 0.25752919912338257, 0.5892215967178345, 0.1521841138601303, 0.5386236906051636, 0.3244800269603729, 0.7002929449081421, 0.5150022506713867, 0.07831327617168427, 0.2580556273460388, 0.6023281812667847, 0.14060617983341217, 0.5343868732452393, 0.3234332799911499, 0.7037876844406128, 0.48099011182785034, 0.09579160809516907, 0.26695477962493896, 0.998059093952179, -0.06422379612922668, 0.5950263738632202, 0.3618483245372772, 1.0033564567565918, 0.06463774293661118, 0.7543227672576904, 0.2764929533004761, 1.2732034921646118, 0.1027156263589859, 0.10176926106214523, 0.30723077058792114, 1.3288023471832275, 0.1828843057155609, 0.10525915771722794, 0.27206140756607056, 1.54921555519104, 0.31710097193717957, 0.01672418974339962, 0.27351340651512146, 1.6193593740463257, 0.32363685965538025, 0.028334906324744225, 0.27866631746292114, 1.594853401184082, 0.3377201557159424, 0.030135152861475945, 0.2685657739639282, 1.669193148612976, 0.334614634513855, 0.055355917662382126, 0.2531394362449646, 1.5741889476776123, 0.31272178888320923, 0.014969651587307453, 0.2517044246196747, 1.6474751234054565, 0.2687571942806244, 0.016959551721811295]",3,[],[],0,0.15985310077667236,3.6670000553131104
7,"[0.3661934733390808, 0.3913334310054779, 0.09613943099975586, 0.9969942569732666, 0.35975340008735657, 0.36592504382133484, 0.04134497791528702, 0.9976947903633118, 0.35503703355789185, 0.36477431654930115, 0.041253961622714996, 0.9981251955032349, 0.34925469756126404, 0.3640456795692444, 0.041076552122831345, 0.9976798892021179, 0.37509697675704956, 0.37153443694114685, 0.05402148514986038, 0.9978700876235962, 0.38109999895095825, 0.37420693039894104, 0.05396810919046402, 0.9979568123817444, 0.3877643644809723, 0.3769734799861908, 0.053836703300476074, 0.9976164698600769, 0.3343307077884674, 0.38450995087623596, -0.13875892758369446, 0.9989489316940308, 0.39602190256118774, 0.4038756191730499, -0.08156099170446396, 0.9987438917160034, 0.35407525300979614, 0.41827771067619324, 0.04299556463956833, 0.9977311491966248, 0.3697527050971985, 0.42609575390815735, 0.05983073636889458, 0.997920572757721, 0.2587447762489319, 0.5720298886299133, -0.2106071263551712, 0.996583104133606, 0.43619340658187866, 0.5975198745727539, -0.09397534281015396, 0.9970682263374329, 0.20839138329029083, 0.7824251055717468, -0.06283895671367645, 0.7582404017448425, 0.3955727219581604, 0.8122261166572571, 0.049184903502464294, 0.18437154591083527, 0.25827133655548096, 0.779446005821228, 0.23597335815429688, 0.5330541729927063, 0.35515066981315613, 0.9287149906158447, 0.2664221227169037, 0.056304845958948135, 0.26749542355537415, 0.790278971195221, 0.2518536448478699, 0.4741763770580292, 0.34632444381713867, 0.9627830386161804, 0.28757208585739136, 0.07361919432878494, 0.287482887506485, 0.7777090072631836, 0.24264292418956757, 0.487790048122406, 0.3428959548473358, 0.9440711736679077, 0.2735162079334259, 0.07777393609285355, 0.2884517014026642, 0.775821328163147, 0.2374095618724823, 0.4844270944595337, 0.33970820903778076, 0.9283028244972229, 0.2628551721572876, 0.09387301653623581, 0.25843602418899536, 0.9958872199058533, -0.05411989614367485, 0.6189359426498413, 0.36076822876930237, 1.0031764507293701, 0.05449984595179558, 0.7658206820487976, 0.27176743745803833, 1.239858865737915, 0.20858235657215118, 0.14732490479946136, 0.30387431383132935, 1.3247802257537842, 0.2759089767932892, 0.13426023721694946, 0.2765076160430908, 1.5324808359146118, 0.5465637445449829, 0.029765775427222252, 0.2728938162326813, 1.610088586807251, 0.545315682888031, 0.04985388368368149, 0.28288576006889343, 1.5847080945968628, 0.5787776112556458, 0.041998229920864105, 0.26844915747642517, 1.6605725288391113, 0.5700236558914185, 0.08304007351398468, 0.25551360845565796, 1.5568386316299438, 0.5425915718078613, 0.02499128319323063, 0.2584959864616394, 1.639364242553711, 0.49896353483200073, 0.028232082724571228]",3,[],[],0,0.16253964602947235,3.633666753768921
8,"[0.3626385033130646, 0.3868814706802368, 0.07383856177330017, 0.9971526265144348, 0.3539937436580658, 0.36144909262657166, 0.01879563182592392, 0.9978190660476685, 0.34860751032829285, 0.3602767884731293, 0.018686261028051376, 0.9982133507728577, 0.34272223711013794, 0.35974231362342834, 0.018498631194233894, 0.9978055953979492, 0.3702377676963806, 0.3678237795829773, 0.032477498054504395, 0.9979844689369202, 0.3766467571258545, 0.37086907029151917, 0.03243032842874527, 0.9980523586273193, 0.3839438557624817, 0.37417805194854736, 0.032291851937770844, 0.997735857963562, 0.32669442892074585, 0.38037681579589844, -0.15432702004909515, 0.9990060925483704, 0.39299947023391724, 0.40109312534332275, -0.11514105647802353, 0.9988122582435608, 0.34966325759887695, 0.4135507047176361, 0.023702267557382584, 0.9978393316268921, 0.36822736263275146, 0.42175301909446716, 0.04306713491678238, 0.9980248808860779, 0.2511696219444275, 0.5643399357795715, -0.22513237595558167, 0.9966084361076355, 0.43106111884117126, 0.5958771109580994, -0.11284667253494263, 0.9970724582672119, 0.20922835171222687, 0.7813570499420166, -0.07406647503376007, 0.7098008394241333, 0.3957683742046356, 0.8091968894004822, 0.08311910927295685, 0.21209269762039185, 0.26883748173713684, 0.7679808735847473, 0.20592403411865234, 0.4815995693206787, 0.358291894197464, 0.852027952671051, 0.35181760787963867, 0.053877830505371094, 0.27870267629623413, 0.7723872661590576, 0.21661384403705597, 0.4289971888065338, 0.35033103823661804, 0.8628559708595276, 0.38226258754730225, 0.07033340632915497, 0.2987953722476959, 0.7558603286743164, 0.20681646466255188, 0.44127827882766724, 0.34483397006988525, 0.8363549113273621, 0.36872559785842896, 0.07421214878559113, 0.30003777146339417, 0.7568495273590088, 0.20667526125907898, 0.4384673535823822, 0.3415471911430359, 0.8305113911628723, 0.34984761476516724, 0.0888836607336998, 0.25650590658187866, 0.9936768412590027, -0.045817792415618896, 0.642184317111969, 0.3601134121417999, 1.0024977922439575, 0.04604640603065491, 0.780917763710022, 0.264125257730484, 1.161906123161316, 0.2832532823085785, 0.1746843159198761, 0.30559682846069336, 1.2737301588058472, 0.33823251724243164, 0.16674844920635223, 0.2696443200111389, 1.4392210245132446, 0.6522859334945679, 0.03639669716358185, 0.2711341083049774, 1.5621691942214966, 0.6293960809707642, 0.06970952451229095, 0.27566152811050415, 1.498555302619934, 0.6906960606575012, 0.05215746909379959, 0.2642498016357422, 1.620033621788025, 0.6584146022796631, 0.11185034364461899, 0.25158098340034485, 1.4361499547958374, 0.7013468742370605, 0.02877502515912056, 0.2589178681373596, 1.5720009803771973, 0.622285008430481, 0.03604618087410927]",3,[],[],0,0.1652713418006897,3.6003334522247314
9,"[0.3609333634376526, 0.3817007839679718, 0.11565001308917999, 0.9971453547477722, 0.3518301844596863, 0.35710111260414124, 0.06014157459139824, 0.9978139996528625, 0.3464679718017578, 0.35618749260902405, 0.06004975363612175, 0.9981861114501953, 0.34085914492607117, 0.35592570900917053, 0.05984224006533623, 0.9978023767471313, 0.3683805763721466, 0.3633676767349243, 0.0691843330860138, 0.9979875087738037, 0.3748314082622528, 0.36650550365448, 0.06910166144371033, 0.9980359673500061, 0.38225969672203064, 0.3698805868625641, 0.06894151121377945, 0.9977393746376038, 0.3273245394229889, 0.3777734935283661, -0.12419505417346954, 0.9990006685256958, 0.3920775055885315, 0.39665982127189636, -0.10084501653909683, 0.9988136887550354, 0.34851324558258057, 0.4087356925010681, 0.06168606877326965, 0.9978157877922058, 0.3681493401527405, 0.41582047939300537, 0.07395999878644943, 0.9980235695838928, 0.25232797861099243, 0.5623584389686584, -0.19690480828285217, 0.9964085221290588, 0.4298207759857178, 0.592766523361206, -0.08201155066490173, 0.9968156814575195, 0.2077530175447464, 0.7847229242324829, -0.03907369077205658, 0.6642955541610718, 0.39452022314071655, 0.8093450665473938, 0.10797937214374542, 0.23302502930164337, 0.26555874943733215, 0.7822440266609192, 0.2610533833503723, 0.4348888397216797, 0.3574475944042206, 0.8620218634605408, 0.3750990927219391, 0.05076203495264053, 0.271897554397583, 0.7934662699699402, 0.2751811146736145, 0.38777419924736023, 0.3507795035839081, 0.8811073303222656, 0.4084731638431549, 0.06609553843736649, 0.29195860028266907, 0.7770423293113708, 0.2681383788585663, 0.3988630175590515, 0.3454684317111969, 0.8539202213287354, 0.39355984330177307, 0.06976442784070969, 0.29441148042678833, 0.77423495054245, 0.26314589381217957, 0.3964838981628418, 0.3418038487434387, 0.8434277772903442, 0.373124897480011, 0.0831855982542038, 0.25589367747306824, 0.9923880696296692, -0.05008385330438614, 0.6634527444839478, 0.3599836230278015, 1.0015634298324585, 0.050321631133556366, 0.7925505042076111, 0.265900582075119, 1.192794919013977, 0.21106970310211182, 0.21076221764087677, 0.30625635385513306, 1.2720478773117065, 0.2996463477611542, 0.18074248731136322, 0.27188175916671753, 1.4713664054870605, 0.5358800888061523, 0.04651650786399841, 0.2700999081134796, 1.5595093965530396, 0.5528286695480347, 0.07933645695447922, 0.27922874689102173, 1.524581789970398, 0.5684081315994263, 0.0651913583278656, 0.2636951506137848, 1.617064356803894, 0.576805830001831, 0.13065040111541748, 0.2523902654647827, 1.4807606935501099, 0.5520613193511963, 0.03213168680667877, 0.2578778862953186, 1.5704410076141357, 0.5261121392250061, 0.03978713974356651]",3,[],[],0,0.1680489480495453,3.566999912261963
