frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5648999,1.6722314,1.6377769,1.8007387,1.7395988,1.5619832,1.3292848,1.0171624,0.6284862,0.4096059,0.79826653,0.18176544,0.18176547,0.8852152,0.90602624,0.7848556,0.83897406,0.34337056,0.35243922,0.35703614,0.38101912,0.37204355,0.29617518,0.2961752,0.6900831,1.2308475,1.2793511,1.9057997,1.4005798,1.461439,2.3023674,2.2702053,2.2045646,2.23791,0.8828866,0.97794026,0.94919723,1.0908706,1.0384563,0.87168634,0.6507228,0.50149596,0.67161846,0.63114125,1.2770013,0.70243317,0.7619072,1.5932143,1.5758933,1.4947015,1.5336691,155.31276,179.52153,20.233582,19.396067,137.5518,2.0387022
1,0.023571013,0.020746956,0.019070059,0.012085778,0.013974635,0.009499654,0.019328404,0.006990627,0.03841127,0.018433597,0.04952906,0.04188848,0.0365827,0.03360761,0.011339644,0.011449375,0.02754897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5535816,1.6547948,1.6222484,1.7581369,1.6972017,1.5157436,1.2776803,0.97691876,0.61157024,0.3645339,0.82540524,0.17842706,0.17842707,0.8897125,0.95552844,0.8336065,0.9034009,0.35016152,0.36448577,0.37077478,0.38846806,0.37888682,0.29716355,0.29716358,0.67840123,1.2541012,1.2689582,1.9233135,1.348732,1.4134806,2.2557895,2.2680233,2.203164,2.2478797,0.8938388,0.9830722,0.9567732,1.073224,1.021204,0.8507208,0.62547565,0.4879883,0.7100896,0.6343526,1.311887,0.6754928,0.73872536,1.5719162,1.599786,1.5183048,1.5701534,154.35881,176.95258,19.986507,20.328726,130.30916,1.9992187
2,0.014406185,0.013991306,0.013894346,0.009001972,0.005187307,0.010316054,0.0020860923,0.010553084,0.016935065,0.0218709,0.054321013,0.018661486,0.022073274,0.039805017,0.01101043,0.03205304,0.014099812,0.009164828,0.00675565,0.0051757134,0.0030838056,0.008787328,0.00081640016,0.017242312,0.0035624574,0.021476205,0.003437303,0.0047919527,0.023226993,0.014509426,0.006197408,0.00032921415,0.020603664,0.0134491585,1.5772082,1.6797177,1.6448311,1.7815784,1.715619,1.5463412,1.2975633,0.9924458,0.60461605,0.35572746,0.7651053,0.17847681,0.17847681,0.86371756,0.94546455,0.80047405,0.8971361,0.3404909,0.3585031,0.36161944,0.38667428,0.37144297,0.30046326,0.30046332,0.6752541,1.2460794,1.2793404,1.9111431,1.3714241,1.4412457,2.252514,2.2820585,2.1948442,2.267692,0.90275913,0.99408364,0.96505606,1.0839666,1.0265833,0.8682966,0.6326047,0.48339713,0.6872782,0.6283639,1.2775528,0.6852322,0.7534826,1.5566398,1.6012686,1.497419,1.5769764,155.09096,174.38374,18.929735,19.297464,128.5129,1.8632993
3,0.0039256443,0.0038656315,0.006010989,0.013458077,0.017505934,0.010568401,0.006521297,0.01035899,0.028840711,0.026105452,0.027661214,0.019053629,0.016103333,0.03090806,0.015585858,0.032340977,0.005118699,0.01048054,0.010125674,0.007883357,0.0044561047,0.012318628,0.0002523465,0.004435205,0.00019409414,0.011905646,0.0042345524,0.0266598,0.00039214268,0.0059699416,0.008896958,0.0045754286,0.00028793886,0.008981113,1.5900302,1.6991922,1.6612431,1.8105354,1.7392145,1.572981,1.3182443,1.001551,0.5863884,0.34179145,0.7288031,0.179167,0.17916699,0.85684687,0.9436045,0.7593098,0.8759167,0.3378939,0.35840464,0.3574904,0.39168355,0.36769143,0.30271015,0.30271018,0.67474675,1.2372193,1.2948376,1.9103024,1.3958759,1.4644119,2.2672575,2.305329,2.1770058,2.2709153,0.90420574,1.0021266,0.96962243,1.1009682,1.0375143,0.88281083,0.6411744,0.47497115,0.6585478,0.6269901,1.2596064,0.69763094,0.7646602,1.5600402,1.6121008,1.4677726,1.5679753,155.97154,175.72438,17.634987,17.484892,129.99945,1.7672662
4,0.03762216,0.037938017,0.03235945,0.027057946,0.004309119,0.017155183,0.0075633805,0.033323377,0.047068246,0.01790058,0.032871533,0.0154680945,0.015980707,0.0113219,0.022610066,0.034444682,0.073025785,0.033696517,0.034072384,0.026348462,0.013599869,0.013196815,0.0065867826,0.0010420834,0.022964388,0.018227534,0.008204872,0.0052103195,0.0035855342,0.00012262538,0.019586159,0.007024208,0.002103705,0.06790709,1.5984449,1.7033132,1.6677364,1.8073455,1.734491,1.5541174,1.3074764,0.9704605,0.5694747,0.33487582,0.69496936,0.17784081,0.17784081,0.8706636,0.9592355,0.7944542,0.9323483,0.32948345,0.3582905,0.35841015,0.4036436,0.37797397,0.29683387,0.2968339,0.67385167,1.1843691,1.2855086,1.8702376,1.3822737,1.4495274,2.269594,2.3100703,2.1984327,2.308661,0.9155454,1.0105714,0.98047537,1.1050538,1.0402366,0.87070453,0.63657916,0.45206794,0.6082323,0.6235125,1.2234443,0.69107497,0.75684136,1.5687531,1.6231786,1.4961826,1.6143188,157.75975,177.64798,16.387148,16.036797,124.31032,1.7334148
5,0.0259028,0.024312273,0.026508857,0.025454253,0.019318482,0.028362153,0.017288009,0.007394987,0.017798392,0.009095759,0.067299224,0.018861057,0.017433843,0.011344813,0.019142682,0.063750274,0.032956984,0.011719361,0.013625745,0.0058505945,0.0016036928,0.015009362,0.01120697,0.009724628,0.02592839,0.029269854,0.008804821,0.03442769,0.0033929627,0.0014531352,2.2912398e-05,0.0034673847,0.029305592,0.0400688,1.5984029,1.6980637,1.6689829,1.7813402,1.7167617,1.5115752,1.2730414,0.9516181,0.56983477,0.32585883,0.6579714,0.17320743,0.17320743,0.8750454,0.9886437,0.87079304,0.9762951,0.3411924,0.37799013,0.37908864,0.41819638,0.38927206,0.2937345,0.29373452,0.6574354,1.1712745,1.2686297,1.7836072,1.3432119,1.4102191,2.236026,2.3030815,2.2355242,2.3142674,0.9322206,1.0230012,0.9989942,1.098824,1.0405697,0.84791094,0.6219649,0.4497581,0.61780345,0.6254485,1.1577883,0.6711875,0.7367106,1.5543941,1.635293,1.5528384,1.6394743,157.609,175.17397,16.998873,17.306776,117.70797,1.6731075
6,0.021782694,0.015567314,0.02546973,0.02003262,0.030190015,0.034608718,0.039495338,0.030975573,0.054744046,0.03363242,0.032251976,0.015736897,0.023327336,0.019168938,0.019774457,0.06373503,0.017922523,0.004120106,0.008744959,0.0010391269,0.005421633,0.010871533,0.006246565,0.022207329,0.023580585,0.036945656,0.024536662,0.035047248,0.0031241607,0.005893493,0.007824125,0.0006317757,1.5243888e-05,0.015034461,1.5978073,1.692569,1.6724039,1.7538992,1.711997,1.4656395,1.2752649,0.91136205,0.59304273,0.29911298,0.6398133,0.16009232,0.16009234,0.8947661,1.0144725,0.93871605,1.0014783,0.35452408,0.39225465,0.39737767,0.4085764,0.3986186,0.26692274,0.26692277,0.660098,1.1246204,1.2841465,1.7507907,1.3304174,1.3831676,2.2371545,2.312559,2.2841291,2.3225653,0.9409303,1.0272969,1.0116491,1.0805372,1.0444747,0.8097441,0.6283199,0.42328134,0.5951868,0.6444086,1.13284,0.6662072,0.7179158,1.5648466,1.6536484,1.6109715,1.6566974,157.72849,171.40596,17.040491,18.790684,118.95728,1.7522631
7,0.033616677,0.02964147,0.035300244,0.0071333023,0.026991038,0.039169263,0.015187632,0.048754964,0.07236702,0.034312904,0.06362415,0.028217165,0.017912835,0.015853822,0.032629397,0.03189576,0.037633583,0.011833983,0.014074156,0.009830514,0.012899318,0.0031989776,0.004560545,0.024307705,0.017779391,0.017622974,0.0006804839,0.031372175,0.012480268,0.005414501,0.0033151153,0.012854939,0.03183927,0.01971106,1.638532,1.7324021,1.7131412,1.7739979,1.7335757,1.4462833,1.2781078,0.88490343,0.5879025,0.29662693,0.5729759,0.15783548,0.15783547,0.8826804,1.0226274,0.9459089,1.009476,0.38795844,0.435493,0.43501666,0.43488815,0.42184442,0.25727233,0.25727233,0.6675957,1.037968,1.287172,1.6684968,1.3262324,1.3725337,2.219169,2.3165352,2.2846668,2.324159,0.9841417,1.0706637,1.0549556,1.1040758,1.0688798,0.7936294,0.63305587,0.4065149,0.51223904,0.65060353,1.0521297,0.6654229,0.71082044,1.5500977,1.6604025,1.6149639,1.6617049,158.94191,174.90945,16.40088,16.41482,115.40839,1.6855892
8,0.017654663,0.012319419,0.018085843,0.0046512214,0.023481734,0.012664295,0.053126976,0.052628115,0.083866976,0.058411617,0.049772978,0.025255295,0.041096285,0.03524081,0.04218131,0.073478445,0.059834864,0.015962014,0.017322052,0.0172144,0.0024820808,0.0035093036,0.026504967,0.037939344,0.0038731508,0.011499956,0.024098713,0.013851173,0.0029618703,0.02318345,0.019386988,0.009551913,0.041582685,0.022201281,1.6124159,1.7039825,1.6864924,1.7425988,1.7092475,1.4042034,1.2764829,0.8064692,0.57871103,0.2666797,0.5399473,0.14868283,0.14868285,0.932412,1.0859029,1.0423251,1.0772617,0.38888723,0.4337703,0.43373114,0.421496,0.41901723,0.23420796,0.23420796,0.7054538,0.97615945,1.3459634,1.6418555,1.3122461,1.3467416,2.2490065,2.3609476,2.3612535,2.3689482,0.96908355,1.0532901,1.0391119,1.0819974,1.0545685,0.7595289,0.6369418,0.37093475,0.4554785,0.7105853,1.0281926,0.6600091,0.693883,1.5897406,1.7146991,1.701336,1.717489,160.12213,176.13179,15.189788,14.777012,120.785774,1.6798141
9,0.027535249,0.026904084,0.024812208,0.017440783,0.004589556,0.004368462,0.009784008,0.014564117,0.025866142,0.08769883,0.022254487,0.030638719,0.028935166,0.03322943,0.02367049,0.04365743,0.034222774,0.009880586,0.014584665,0.0067263655,0.012789561,0.018892178,0.008295832,0.043342967,0.038063996,0.058000833,0.029287215,0.02751849,0.0053834245,0.012161119,0.002011381,0.018510818,0.029821016,0.02561209,1.6039246,1.6912479,1.6753544,1.711995,1.6790229,1.3769978,1.244331,0.7644064,0.53767115,0.24035758,0.5573266,0.14181794,0.14181791,0.9289412,1.0951241,1.1053154,1.116551,0.39424244,0.44010198,0.44113982,0.4205772,0.4170283,0.22905436,0.22905439,0.71356076,0.99096626,1.4122205,1.6553121,1.2804273,1.3191972,2.2154133,2.338699,2.3931603,2.3729768,0.97291154,1.0533569,1.0407999,1.0660498,1.0387836,0.7462242,0.6188448,0.35958198,0.4670207,0.78014445,1.0525641,0.64215213,0.68025947,1.571003,1.7079113,1.7484351,1.7382201,158.18947,176.80023,14.870451,14.531013,115.73566,1.5638434
