frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013449,2.1272533,2.1262124,2.2400005,2.2114508,1.7448924,1.9185716,0.43974763,0.80918705,0.4840597,1.0023264,0.044145856,0.044145815,0.686329,0.68636507,0.20881028,0.20787226,0.59239465,0.5701787,0.54969245,0.4878634,0.41592523,0.096307546,0.096307434,1.455814,1.3133568,2.1311104,2.02215,1.8744738,1.7880889,2.036957,1.9497226,1.9904318,1.9200754,1.1679372,1.2596737,1.25423,1.3376955,1.3012983,0.8298104,1.0033538,0.5639229,0.5928473,1.2448276,1.3070949,0.95886564,0.872484,1.2131544,1.1392456,1.0790426,1.0131994,169.36948,161.95888,7.861948,22.30281,73.683044,3.5268016
1,0.034346938,0.03381505,0.03042129,0.036996532,0.025493126,0.029499268,0.025945822,0.041169528,0.019292356,0.036499355,0.013681508,0.043093584,0.04715994,0.026113765,0.021629764,0.018913912,0.033124715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0129542,2.1197302,2.119845,2.2074718,2.185556,1.7011802,1.883878,0.43587685,0.82390136,0.5174168,1.0250815,0.04715867,0.04715863,0.72466147,0.70211214,0.25425646,0.22418709,0.60382223,0.5838073,0.5614223,0.4913914,0.42362112,0.10147696,0.10147697,1.4137092,1.2767086,2.1327746,2.005657,1.8379592,1.7460728,2.0419574,1.9349892,1.9906092,1.9095194,1.1855342,1.2705283,1.2655696,1.3245366,1.2943155,0.80582505,0.98835474,0.53988814,0.5929563,1.2670523,1.3167855,0.94199616,0.8501147,1.2428033,1.1470703,1.1003562,1.0224774,167.94588,163.48438,7.538223,23.586523,76.93069,3.4622295
2,0.03675596,0.034763668,0.03647727,0.038102962,0.04247651,0.042757776,0.032993402,0.027761014,0.030066162,0.03694297,0.031026896,0.049517795,0.051442,0.061708014,0.06593626,0.05414113,0.07153248,0.0024090223,0.0009486191,0.006055981,0.0011064298,0.016983382,0.0132585075,0.0070475806,0.013408514,0.010773806,0.00044361502,0.017345387,0.006424211,0.004282061,0.035594247,0.044306494,0.035227217,0.038407765,1.99081,2.0907667,2.0930533,2.158409,2.1465507,1.6417674,1.8354552,0.42647853,0.8155769,0.56423265,1.0237197,0.048118994,0.048118964,0.71952206,0.67075616,0.282667,0.20788418,0.6060681,0.5870545,0.5674712,0.48995736,0.43543482,0.10940222,0.10940222,1.3836432,1.2275847,2.1485503,2.0010114,1.7844384,1.6913806,2.0543528,1.9379348,1.9911832,1.8947462,1.1875507,1.2660666,1.2634885,1.3016719,1.2820286,0.77371806,0.9671543,0.541416,0.5753436,1.3085368,1.3307816,0.9155453,0.82249445,1.2704306,1.1609081,1.125749,1.0303372,170.83412,165.85162,8.507939,24.129826,78.18804,3.2435684
3,0.076687865,0.07904613,0.07304411,0.052417614,0.036918923,0.021324439,0.028286368,0.07491668,0.01853599,0.038074244,0.02291953,0.035612136,0.025256092,0.032408215,0.03397637,0.061591227,0.06783159,0.039931905,0.044282462,0.036566835,0.0143146515,0.0055575855,0.021433337,0.0047070347,0.04715567,0.011530172,0.0011312738,0.008107366,0.013905659,0.02618591,0.0292998,0.03195989,0.0074500963,0.0037008896,1.9776021,2.0811815,2.072171,2.1587873,2.120601,1.6440997,1.8407702,0.4177136,0.8226239,0.5902601,1.0326663,0.046174232,0.046174232,0.73220146,0.7066825,0.2579599,0.1769232,0.66106045,0.633968,0.60063034,0.50776994,0.41672283,0.106334746,0.106334805,1.3660907,1.2275457,2.1884608,2.0246537,1.7875947,1.696365,2.0867612,1.9901434,1.9786041,1.8861097,1.1896827,1.2680717,1.2524834,1.3040268,1.2556641,0.7736762,0.9701859,0.51159894,0.5772164,1.345464,1.3506296,0.91662574,0.8253984,1.2987437,1.2130232,1.1099992,1.0177157,166.62138,166.39445,6.6060724,24.056307,78.67182,3.409731
4,0.028033555,0.029863352,0.020826621,0.03609311,0.011685217,0.031919166,0.010037254,0.060225386,0.014554291,0.0114855785,0.04598012,0.02204579,0.039465096,0.018686993,0.028374605,0.042612657,0.039715383,0.04865431,0.04918278,0.052217484,0.016324505,0.025233706,0.0105947275,0.018249113,0.014691297,0.0039816992,0.026588665,0.023060588,0.013566347,0.014209004,0.013721222,0.0056017637,0.01897857,0.028116208,1.9798447,2.0810695,2.0677204,2.1434028,2.0981412,1.6072725,1.8320051,0.36475104,0.8172673,0.61958927,1.0970037,0.053003024,0.053003054,0.7516973,0.7077936,0.25317785,0.171319,0.6803938,0.655169,0.6132692,0.5228157,0.41399068,0.12594324,0.12594324,1.419036,1.210678,2.186307,2.013743,1.7696044,1.6679218,2.0839183,1.9596509,1.9537698,1.8612566,1.2053547,1.2812368,1.2598821,1.3020275,1.2443119,0.74907464,0.9734329,0.57868207,0.57302094,1.3577313,1.3750668,0.91031533,0.80864424,1.3097336,1.1967125,1.0964384,1.0041578,165.74252,161.96544,7.259231,24.405113,75.630516,3.1065223
5,0.02632682,0.025226215,0.031862937,0.01904244,0.04394635,0.020540034,0.056415964,0.03827782,0.021563986,0.020093145,0.064798236,0.034848925,0.03661957,0.048885383,0.049761783,0.027105305,0.047479324,0.0017067343,0.004637137,0.011036316,0.017050669,0.032261133,0.011379132,0.04637871,0.021947566,0.0070096953,0.008607566,0.018818118,0.012803135,0.0028455257,0.03019839,0.021387178,0.015507352,0.007763941,1.9578321,2.055932,2.0429318,2.1162574,2.0782027,1.5837699,1.804264,0.32434535,0.8012014,0.64459556,1.0429658,0.048389748,0.048389804,0.70806044,0.65813935,0.28968844,0.21748354,0.6685037,0.64167583,0.6052871,0.5080664,0.41839004,0.11726574,0.117265746,1.4065472,1.18063,2.2031631,2.0159168,1.741777,1.6453234,2.062203,1.9450203,1.9750718,1.9027768,1.1928865,1.2658112,1.2461731,1.2850349,1.2369171,0.73757374,0.95788085,0.5698801,0.54852647,1.3848075,1.3633872,0.8950085,0.7985557,1.2884065,1.1794497,1.1293316,1.0568373,162.05171,165.18839,5.592017,23.494543,83.347946,3.133199
6,0.06870405,0.06008633,0.06354798,0.0410287,0.048571948,0.04471286,0.10623957,0.07327827,0.090961285,0.111649886,0.19060941,0.046943534,0.04791267,0.009295229,0.12792392,0.035688102,0.10922252,0.042377226,0.03486011,0.03168504,0.021986261,0.004625596,0.024172826,0.04982361,0.03500045,0.0693973,0.09155674,0.12581117,0.012094609,0.011293098,0.039590154,0.07816213,0.008582797,0.061743192,1.9588742,2.058141,2.0404499,2.1032336,2.0654986,1.5569134,1.6926557,0.34396172,0.7574351,0.749815,0.9409007,0.045299236,0.04529926,0.686924,0.5186257,0.3459207,0.21875119,0.68796176,0.664635,0.6327454,0.5384489,0.46246535,0.0723688,0.07236887,1.2964729,1.0483226,2.271425,2.0538087,1.6698881,1.5792929,2.0094268,1.8638573,1.9695152,1.8345131,1.2228721,1.2957696,1.2736081,1.302665,1.2570821,0.7448388,0.8805321,0.48964506,0.4201436,1.4835678,1.3754596,0.85759294,0.7669977,1.2629358,1.1007473,1.1573687,1.0231429,162.36676,170.16405,4.0149307,20.75943,88.62688,4.216391
7,0.027202813,0.02440119,0.01639002,0.024700621,0.0044916905,0.027200898,0.010404818,0.03295175,0.063765,0.045392223,0.18669078,0.066049986,0.06848705,0.054084245,0.054258805,0.07831342,0.08379139,0.04150123,0.035685137,0.04715796,0.01632808,0.044080257,0.017511962,0.095834754,0.04032652,0.027196288,0.06625766,0.003918633,0.019106451,0.02057438,0.044789016,0.07366511,0.042625315,0.025431126,1.9198419,2.0144691,1.9899137,2.0338998,1.9948617,1.5075204,1.633705,0.3100734,0.64001876,0.8417922,0.8764999,0.04607832,0.046078358,0.6630586,0.5109546,0.47988403,0.34854555,0.6889539,0.6685414,0.62552506,0.5287652,0.44343477,0.0708673,0.0708673,1.275768,1.0647405,2.3254316,2.126749,1.6162791,1.5242879,1.9629201,1.8188584,2.0470304,1.9175645,1.2098675,1.2790899,1.2486285,1.2616358,1.2130985,0.72275466,0.8488589,0.49539793,0.39395753,1.5625868,1.4245039,0.83114076,0.73915005,1.2368934,1.0808396,1.262484,1.1326178,162.80843,172.81322,3.9004343,16.793299,83.083176,3.1182582
8,0.03502993,0.01807799,0.031758416,0.013322279,0.016908063,0.020340469,0.017509568,0.076502435,0.16726151,0.031004122,0.30659664,0.094268955,0.10979589,0.08143192,0.14220344,0.09603453,0.11670439,0.007827116,0.0063231997,0.015368396,0.011378342,0.012416372,0.0068604294,0.0071047507,0.043550685,0.103496514,0.014388101,0.11990586,0.02821897,0.041308843,0.027347673,0.08794463,0.01772111,0.032913,1.8663633,1.958793,1.9307146,1.9710859,1.9497905,1.4822779,1.6022208,0.29916266,0.41638055,0.861205,0.82858837,0.057420224,0.057420224,0.59638023,0.4742276,0.4919172,0.38557544,0.68492776,0.67196274,0.61469424,0.5237657,0.43594876,0.0664823,0.06648235,1.2492075,1.1535572,2.3666599,2.2924778,1.5984427,1.4855957,1.9172066,1.7414569,2.0333862,1.9261038,1.1754966,1.2448996,1.2076118,1.2187401,1.1838242,0.71158713,0.8314676,0.4801889,0.3969963,1.6052879,1.5416158,0.8274845,0.7146457,1.192161,1.0170321,1.2624952,1.1553549,157.7139,172.45444,2.580885,6.0145755,81.98885,1.1445025
9,0.08838517,0.08734801,0.105659254,0.052756336,0.083744116,0.10275278,0.1760091,0.15028058,0.11136885,0.15095428,0.11414675,0.028034078,0.02494618,0.14639553,0.17339583,0.16099268,0.21407692,0.053355243,0.069270015,0.073900834,0.039434057,0.06683605,0.08241232,0.15849954,0.073778145,0.05589266,0.11995015,0.1924499,0.06623488,0.084849715,0.06496362,0.031192392,0.064958155,0.09737253,1.7641029,1.8466928,1.8138771,1.8934864,1.8700669,1.5486861,1.7408906,0.4225133,0.48253718,0.75611764,0.74379545,0.056595907,0.056595866,0.73005503,0.63573074,0.6113557,0.5735376,0.6428674,0.6225027,0.520828,0.45150423,0.27528557,0.1030807,0.103080645,1.2353352,1.1787593,2.356161,2.314426,1.6988893,1.5899873,2.2016118,2.0419557,2.2416704,2.212011,1.0424414,1.1058513,1.0510571,1.103897,1.0537938,0.7270093,0.91906375,0.41988152,0.36765876,1.5445452,1.5096076,0.876772,0.76788455,1.419173,1.2692058,1.4224755,1.3910372,153.78033,172.57755,4.5948253,4.6974864,68.69462,0.4554455
10,0.6062255,0.6863368,0.5459656,0.79885995,0.51788914,0.45883366,0.52070034,0.58867735,0.28511727,0.66031796,0.5377793,0.39952096,0.34655172,0.19937296,0.17433847,0.6113909,0.6677745,0.5178403,0.59898883,0.44030637,0.74610364,0.43414503,0.3560809,0.34469122,0.43839675,0.17374842,0.50936365,0.42363253,0.37148687,0.32160553,0.052977428,0.00094264746,0.4503982,0.45369756,1.7983435,2.015567,1.9762028,2.2889245,2.167569,1.5894268,1.6300734,0.27386022,0.41381407,0.5098324,0.4236157,0.04088308,0.04088308,0.44759732,0.4055301,0.468279,0.47265223,0.48883265,0.5803114,0.5692851,0.7134868,0.5950075,0.020743977,0.020743977,1.4124863,1.2231315,1.9708797,1.8898935,1.6496125,1.569929,1.9960209,1.9090017,2.0146172,2.0148091,1.0433978,1.2457192,1.2111615,1.4920789,1.3705381,0.78455997,0.8252062,0.6222852,0.43107647,1.1934521,1.1080408,0.84476453,0.76508486,1.2018327,1.1209601,1.2211325,1.2221328,165.06302,167.27461,7.0293674,6.2188325,116.42404,2.161591
