frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1275158,2.2425132,2.264118,2.3262074,2.3906476,1.7022356,1.7756318,0.5811209,0.9983107,1.0618412,1.1367106,0.19524491,0.19524491,0.4042181,0.90151316,0.06682523,0.4811376,0.5915692,0.62787676,0.6459123,0.61158603,0.6844337,0.22155021,0.2215502,1.549831,1.4947864,1.8216425,1.6848942,1.8294204,1.6376102,1.7234006,1.6303332,1.7180729,1.5880574,1.3015761,1.4026793,1.4239657,1.4658107,1.5322481,0.85399485,0.9257096,0.7910757,0.933524,1.2161028,1.1495441,0.97386426,0.78479666,0.9070351,0.9956495,0.8567857,0.7954066,121.37318,141.5627,25.772802,28.75414,153.59438,0.42406368
1,0.053360254,0.045443293,0.054311283,0.01262694,0.053309977,0.04729768,0.04043645,0.097737975,0.042972986,0.082283825,0.024509052,0.031797618,0.042686053,0.0798048,0.049711224,0.026146404,0.047600016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1028178,2.220196,2.2307801,2.2871625,2.33022,1.6590288,1.752338,0.67660797,1.0116752,1.1467084,1.1133403,0.17400065,0.17400065,0.48350933,0.8799841,0.10471763,0.46004564,0.5556306,0.6078954,0.61319447,0.5997662,0.6441372,0.18118572,0.18118574,1.53159,1.4542544,1.8322453,1.6778506,1.7980345,1.6078038,1.7741932,1.6659849,1.7314665,1.6295445,1.2828125,1.3891463,1.3987558,1.4407427,1.4841639,0.8203208,0.9121855,0.8258977,0.92168057,1.2713597,1.1435378,0.9549482,0.7667976,0.9854417,1.0272598,0.88588655,0.84489787,125.14281,157.72252,29.076372,30.5363,154.10535,0.4320145
2,0.057809327,0.05777321,0.06964845,0.06970219,0.068958536,0.15474203,0.09933197,0.17466028,0.035247386,0.37658566,0.2638577,0.1757784,0.14949735,0.16259618,0.09339089,0.10988057,0.11972961,0.004449073,0.012329917,0.015337169,0.057075255,0.015648559,0.10744435,0.058895517,0.076922305,0.0077256,0.29430184,0.23934864,0.14398079,0.10681129,0.08279138,0.043679666,0.08373416,0.07212959,2.2894661,2.414728,2.4192598,2.4473035,2.4713566,1.6979026,1.8360075,0.8186829,1.0456682,1.228892,1.1780292,0.12431391,0.124313995,0.6346621,0.81922007,0.1865856,0.39030558,0.62205863,0.70613676,0.6976408,0.69788074,0.7073016,0.101370975,0.101371005,1.5981591,1.4000584,1.4125029,1.3498209,1.865803,1.668212,1.7585177,1.5885597,1.7106165,1.6267436,1.4265871,1.5445434,1.546158,1.5681232,1.5889568,0.81695706,0.95469594,0.9127002,0.86466014,0.98666835,0.90869635,0.9844703,0.7874244,0.98409086,0.90452546,0.83746994,0.787503,62.00325,62.419632,31.200317,32.19358,170.67215,0.38501891
3,0.036366116,0.024749812,0.028098077,0.022627406,0.0034362017,0.023450958,0.023236932,0.085468106,0.13322544,0.4548074,0.27721915,0.122858055,0.1366317,0.1050541,0.09243147,0.040409807,0.06620203,0.02144321,0.0330234,0.041550376,0.047074787,0.065522335,0.13129108,0.07609504,0.089192174,0.097978055,0.07822174,0.013361454,0.05292035,0.012865648,0.05754208,0.0009594187,0.06947076,0.05352758,2.3797865,2.512634,2.5175185,2.5521078,2.585421,1.8229896,1.9363279,0.852404,1.0276673,1.4837472,1.3278538,0.13616024,0.13616021,0.6344438,0.8155066,0.18217617,0.47082993,0.62989163,0.70966375,0.70074445,0.6917787,0.711135,0.11119717,0.111197166,1.6756016,1.5218127,0.998585,1.0785673,1.9759306,1.7834532,1.8579,1.6755407,1.7414856,1.5577718,1.4659748,1.5898067,1.5916909,1.61707,1.6474425,0.88703835,0.9999372,0.9413424,0.89722687,0.8475541,0.76306,1.0394372,0.8477214,1.022822,0.9247989,0.8074585,0.66571456,32.359215,19.112312,30.82734,28.941366,163.21632,0.7441836
4,0.039755993,0.022018125,0.07393663,0.13877232,0.15282747,0.14613223,0.17972808,0.28314283,0.09472401,0.2271204,0.24454221,0.04705609,0.22397017,0.19823715,0.12796383,0.058283605,0.10092495,0.0033898763,0.0027316865,0.04583855,0.11614492,0.14939126,0.122681275,0.15649115,0.19767472,0.038501434,0.227687,0.032676935,0.07580197,0.08733848,0.09318305,0.035532355,0.017873798,0.034722917,2.3296077,2.4472857,2.483446,2.4507,2.5666847,1.7920648,1.9268848,0.5463829,0.92349577,1.237659,1.0204946,0.23442961,0.2344296,0.3532707,0.8165078,0.03725011,0.36831483,0.6409768,0.68248206,0.733446,0.61133474,0.7539388,0.26734194,0.26734194,1.5273226,1.4420643,1.2039013,1.2802241,1.957172,1.7495226,1.7694876,1.6450374,1.8095169,1.6591426,1.4391949,1.5426648,1.5827329,1.5304087,1.6524125,0.89095694,1.0220072,0.6840648,0.7864586,0.80181634,0.7017918,1.0464512,0.84274167,0.8833253,0.9158257,0.8889262,0.77235055,59.931118,9.10198,23.74685,20.496593,151.2317,0.4105554
5,0.053075593,0.049092136,0.051251903,0.010975105,0.007718773,0.09488482,0.18411359,0.13980207,0.16675942,0.3168304,0.12384246,0.09099603,0.08736449,0.028345272,0.1495697,0.09656646,0.10801135,0.0133196,0.027074011,0.022684723,0.12779722,0.1451087,0.05124741,0.004385516,0.14334077,0.07203541,0.08971,0.12069975,0.043939937,0.13660568,0.16989188,0.021605879,0.038282856,0.0070864037,2.2039578,2.3243086,2.3584483,2.3856707,2.4952524,1.7647835,2.0019908,0.62759703,0.8843055,1.0905579,0.9099377,0.19173601,0.19173597,0.3517154,0.646153,0.04982052,0.27624884,0.5341675,0.5559779,0.6079613,0.5146812,0.65600073,0.2119238,0.2119238,1.6407281,1.3763341,1.5988247,1.4967254,1.9858507,1.7783496,1.901465,1.8002405,1.8261416,1.7016091,1.3008868,1.4059465,1.444601,1.4488218,1.5650032,0.83702487,1.0711508,0.81477463,0.6775472,0.9968465,0.8093275,1.0540907,0.8488636,0.9952694,0.97473794,0.88857293,0.7789851,84.02987,144.49654,26.018028,18.210423,177.60306,0.49964845
6,0.064759836,0.08991327,0.020064386,0.08510744,0.09999158,0.119251646,0.24033299,0.49945545,0.15405926,0.42328528,0.26999828,0.19148639,0.30935493,0.30557185,0.25249955,0.062856786,0.20312248,0.011684243,0.040821135,0.031187518,0.07413233,0.09227281,0.024366826,0.0562194,0.35965338,0.012700155,0.10645488,0.14615582,0.10049036,0.22199044,0.27722657,0.102929845,0.033709675,0.09511113,1.9973707,2.1342611,2.1632235,2.2433343,2.311499,1.6539562,1.8108565,0.15993617,0.78872985,0.5786774,0.7052697,0.26865283,0.2686528,0.07782246,0.6033345,0.24133947,0.23218924,0.44335997,0.49105623,0.5700806,0.54951066,0.6783977,0.3689031,0.3689031,1.6037538,1.3366861,1.8066938,1.7186655,1.792408,1.6353028,1.6704364,1.5872037,1.8675808,1.6908462,1.1726913,1.2962558,1.3358294,1.3962204,1.4777693,0.84735245,0.9948976,0.7622197,0.6975587,1.0400388,1.0038844,0.961575,0.80954957,0.82485324,0.85075855,1.0272424,0.8594255,107.77357,178.06175,5.1939178,14.4865055,154.72308,0.24605536
7,0.03761248,0.034633532,0.035328582,0.029698087,0.03410823,0.010472302,0.0075066793,0.06570003,0.039456695,0.033522256,0.10936931,0.04542314,0.044412185,0.07989793,0.064305894,0.019172296,0.057945102,0.027147356,0.05527974,0.015264196,0.05540935,0.06588335,0.10877934,0.2328263,0.43375543,0.114602566,0.38976303,0.16062897,0.14606325,0.26494274,0.22567391,0.18819365,0.04368449,0.14517738,1.9503577,2.0815494,2.104965,2.1795955,2.237305,1.6119629,1.7754998,0.1784275,0.80635667,0.5634279,0.81465083,0.27258274,0.27258274,0.13577598,0.6444574,0.24901308,0.2996603,0.41475824,0.4678705,0.539592,0.5284955,0.6434625,0.3775196,0.3775196,1.5444986,1.318514,1.8134437,1.7852987,1.7537469,1.5933475,1.7425375,1.6413358,1.8593603,1.6949075,1.1422508,1.2620033,1.2952976,1.3534212,1.4235752,0.8290054,0.98195595,0.7248679,0.7149282,1.058202,1.1145631,0.94432086,0.7894975,0.9188107,0.933505,1.0374929,0.893326,114.07147,169.89415,5.2997904,15.864568,151.85904,0.38046893
8,0.06742736,0.05993741,0.07858493,0.021091396,0.10518881,0.084843904,0.2553394,0.345979,0.10348981,0.22686794,0.052513152,0.10372606,0.19677109,0.19394946,0.056895345,0.06899615,0.02945076,0.02981488,0.025303878,0.04325635,0.008606691,0.07108058,0.0743716,0.24783273,0.28027898,0.06403311,0.1933457,0.056856155,0.05830292,0.1523589,0.11405153,0.0074105486,0.04982385,0.028494343,1.9607311,2.0899,2.107926,2.2506764,2.2986333,1.719208,1.9240276,0.3748535,0.8855758,0.91890746,0.96268463,0.225457,0.225457,0.23356642,0.7816825,0.11124481,0.42223683,0.41058323,0.40974626,0.47630882,0.44850928,0.567466,0.27206317,0.27206317,1.6937732,1.3890754,1.9846861,1.8795456,1.9080372,1.7235363,1.8689485,1.8312403,1.9071679,1.8366778,1.0921687,1.2058595,1.2334588,1.3489486,1.4103817,0.8373513,1.0364652,0.83126473,0.7370191,1.2561828,1.1899732,1.0158879,0.83487356,0.97983193,1.0809921,1.0055556,0.9808895,121.05677,162.63327,19.528206,18.817215,174.17657,0.25412413
9,0.09938062,0.10996765,0.08052154,0.095290676,0.045952335,0.059322976,0.2168325,0.11566978,0.25393295,0.3776382,0.25259295,0.18278007,0.28273097,0.25990978,0.08198964,0.1241812,0.07557061,0.03195326,0.05003024,0.0019366071,0.07419928,0.059236474,0.025520928,0.03850691,0.23030922,0.15044314,0.15077025,0.2000798,0.07905401,0.08595988,0.06596032,0.025094293,0.055185057,0.046119854,2.2016118,2.3542287,2.3640265,2.514683,2.5399349,1.9100946,2.018269,0.5920541,0.88124174,1.0918231,1.0699196,0.13767637,0.13767642,0.6131537,0.8457666,0.28503335,0.4826544,0.5844217,0.5937319,0.63517356,0.577895,0.65503496,0.13506076,0.13506077,1.7633779,1.5758272,1.6166863,1.6267118,2.0420382,1.8850404,1.7989208,1.8044195,1.8530335,1.8216014,1.2781423,1.4095325,1.4266603,1.5388706,1.5746416,0.93417233,1.0417062,0.87712115,0.81806827,0.97067124,0.96684337,1.0647835,0.9085663,0.9194363,1.0123991,0.8926451,0.90272915,69.51024,96.14834,21.353355,21.478918,173.15866,0.08875572
