split,augmentation,step,support,predicted,correct,recall,prediction_rate
train,01,0,998,1144,486,0.48697394789579157,0.04131157012855698
train,01,1,1032,1725,706,0.6841085271317829,0.06229235880398671
train,01,2,1537,2160,875,0.5692908262849707,0.07800086667629641
train,01,3,2649,3086,1977,0.7463193657984145,0.11144012711252348
train,01,4,11024,5869,4834,0.4384978229317852,0.21193846598295538
train,01,5,2135,2196,607,0.28430913348946135,0.07930088112090135
train,01,6,1948,4136,1178,0.6047227926078029,0.14935721508016755
train,01,7,6369,7376,5097,0.8002826189354687,0.26635851509461217
train,02,0,998,1144,486,0.48697394789579157,0.04131157012855698
train,02,1,1032,1725,706,0.6841085271317829,0.06229235880398671
train,02,2,1537,2160,875,0.5692908262849707,0.07800086667629641
train,02,3,2649,3086,1977,0.7463193657984145,0.11144012711252348
train,02,4,11024,5869,4834,0.4384978229317852,0.21193846598295538
train,02,5,2135,2196,607,0.28430913348946135,0.07930088112090135
train,02,6,1948,4136,1178,0.6047227926078029,0.14935721508016755
train,02,7,6369,7376,5097,0.8002826189354687,0.26635851509461217
train,03,0,998,1144,486,0.48697394789579157,0.04131157012855698
train,03,1,1032,1725,706,0.6841085271317829,0.06229235880398671
train,03,2,1537,2160,875,0.5692908262849707,0.07800086667629641
train,03,3,2649,3086,1977,0.7463193657984145,0.11144012711252348
train,03,4,11024,5869,4834,0.4384978229317852,0.21193846598295538
train,03,5,2135,2196,607,0.28430913348946135,0.07930088112090135
train,03,6,1948,4136,1178,0.6047227926078029,0.14935721508016755
train,03,7,6369,7376,5097,0.8002826189354687,0.26635851509461217
val,02,0,157,214,12,0.07643312101910828,0.04504314881077668
val,02,1,233,580,117,0.5021459227467812,0.12207956219743211
val,02,2,315,496,73,0.23174603174603176,0.10439907387918333
val,02,3,520,174,70,0.1346153846153846,0.03662386865922963
val,02,4,1652,998,631,0.38196125907990314,0.21006103978109872
val,02,5,489,324,115,0.23517382413087934,0.06819616922753105
val,02,6,254,900,113,0.4448818897637795,0.18943380340980845
val,02,7,1131,1065,565,0.4995579133510168,0.22416333403494001
val,03,0,157,214,12,0.07643312101910828,0.04504314881077668
val,03,1,233,580,117,0.5021459227467812,0.12207956219743211
val,03,2,315,496,73,0.23174603174603176,0.10439907387918333
val,03,3,520,174,70,0.1346153846153846,0.03662386865922963
val,03,4,1652,998,631,0.38196125907990314,0.21006103978109872
val,03,5,489,324,115,0.23517382413087934,0.06819616922753105
val,03,6,254,900,113,0.4448818897637795,0.18943380340980845
val,03,7,1131,1065,565,0.4995579133510168,0.22416333403494001
val,01,0,157,214,12,0.07643312101910828,0.04504314881077668
val,01,1,233,580,117,0.5021459227467812,0.12207956219743211
val,01,2,315,496,73,0.23174603174603176,0.10439907387918333
val,01,3,520,174,70,0.1346153846153846,0.03662386865922963
val,01,4,1652,998,631,0.38196125907990314,0.21006103978109872
val,01,5,489,324,115,0.23517382413087934,0.06819616922753105
val,01,6,254,900,113,0.4448818897637795,0.18943380340980845
val,01,7,1131,1065,565,0.4995579133510168,0.22416333403494001
test,01,0,84,9,0,0.0,0.0034615384615384616
test,01,1,102,394,75,0.7352941176470589,0.15153846153846154
test,01,2,111,370,58,0.5225225225225225,0.1423076923076923
test,01,3,258,14,13,0.050387596899224806,0.005384615384615384
test,01,4,1143,565,447,0.3910761154855643,0.2173076923076923
test,01,5,192,123,28,0.14583333333333334,0.04730769230769231
test,01,6,174,479,43,0.2471264367816092,0.18423076923076923
test,01,7,536,646,335,0.625,0.24846153846153846
test,03,0,84,9,0,0.0,0.0034615384615384616
test,03,1,102,394,75,0.7352941176470589,0.15153846153846154
test,03,2,111,370,58,0.5225225225225225,0.1423076923076923
test,03,3,258,14,13,0.050387596899224806,0.005384615384615384
test,03,4,1143,565,447,0.3910761154855643,0.2173076923076923
test,03,5,192,123,28,0.14583333333333334,0.04730769230769231
test,03,6,174,479,43,0.2471264367816092,0.18423076923076923
test,03,7,536,646,335,0.625,0.24846153846153846
test,02,0,84,9,0,0.0,0.0034615384615384616
test,02,1,102,394,75,0.7352941176470589,0.15153846153846154
test,02,2,111,370,58,0.5225225225225225,0.1423076923076923
test,02,3,258,14,13,0.050387596899224806,0.005384615384615384
test,02,4,1143,565,447,0.3910761154855643,0.2173076923076923
test,02,5,192,123,28,0.14583333333333334,0.04730769230769231
test,02,6,174,479,43,0.2471264367816092,0.18423076923076923
test,02,7,536,646,335,0.625,0.24846153846153846
