split,step,support,predicted,correct,recall,prediction_rate
train,0,2994,3432,1458,0.48697394789579157,0.04131157012855698
train,1,3096,5175,2118,0.6841085271317829,0.06229235880398671
train,2,4611,6480,2625,0.5692908262849707,0.07800086667629641
train,3,7947,9258,5931,0.7463193657984145,0.11144012711252348
train,4,33072,17607,14502,0.4384978229317852,0.21193846598295538
train,5,6405,6588,1821,0.28430913348946135,0.07930088112090135
train,6,5844,12408,3534,0.6047227926078029,0.14935721508016755
train,7,19107,22128,15291,0.8002826189354687,0.26635851509461217
val,0,471,642,36,0.07643312101910828,0.04504314881077668
val,1,699,1740,351,0.5021459227467812,0.12207956219743211
val,2,945,1488,219,0.23174603174603176,0.10439907387918333
val,3,1560,522,210,0.1346153846153846,0.03662386865922963
val,4,4956,2994,1893,0.38196125907990314,0.21006103978109872
val,5,1467,972,345,0.23517382413087934,0.06819616922753105
val,6,762,2700,339,0.4448818897637795,0.18943380340980845
val,7,3393,3195,1695,0.4995579133510168,0.22416333403494001
test,0,252,27,0,0.0,0.0034615384615384616
test,1,306,1182,225,0.7352941176470589,0.15153846153846154
test,2,333,1110,174,0.5225225225225225,0.1423076923076923
test,3,774,42,39,0.050387596899224806,0.005384615384615384
test,4,3429,1695,1341,0.3910761154855643,0.2173076923076923
test,5,576,369,84,0.14583333333333334,0.04730769230769231
test,6,522,1437,129,0.2471264367816092,0.18423076923076923
test,7,1608,1938,1005,0.625,0.24846153846153846
