split,file,feature,norm,exact,max_abs_error
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.5200834274291992
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.6133379936218262
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.8305015563964844
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.5138490200042725
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.656463623046875
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.574765682220459
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.7210664749145508
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.3607931137084961
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.6058034896850586
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.6768436431884766
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.6516027450561523
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.6169643402099609
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.5200834274291992
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.6133379936218262
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.8305015563964844
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.5138490200042725
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.656463623046875
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.574765682220459
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.7210664749145508
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.3607931137084961
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.6058034896850586
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.6768436431884766
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.6516027450561523
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.6169643402099609
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.5200834274291992
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.6133379936218262
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.8305015563964844
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.5138490200042725
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.656463623046875
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.574765682220459
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.7210664749145508
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.3607931137084961
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.6058034896850586
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.6768436431884766
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.6516027450561523
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.6169643402099609
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-22.npz,False,2.1326873302459717
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-23.npz,False,2.335132598876953
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.569196343421936
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.511695146560669
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.6027359962463379
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.5725650787353516
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.358978271484375
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.23241591453552246
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.5554652214050293
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.616004467010498
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
