split,participant,step,support,predicted,correct,recall,prediction_rate
train,14,0,339,477,231,0.6814159292035398,0.07820954254795869
train,14,1,216,336,171,0.7916666666666666,0.055090998524348254
train,14,2,369,558,213,0.5772357723577236,0.09149040826364978
train,14,3,543,606,399,0.7348066298342542,0.09936055090998525
train,14,4,2580,1332,1215,0.47093023255813954,0.21839645843580915
train,14,5,360,249,48,0.13333333333333333,0.04082636497786522
train,14,6,414,1080,396,0.9565217391304348,0.17707820954254797
train,14,7,1278,1461,939,0.7347417840375586,0.2395474667978357
train,12,0,252,153,78,0.30952380952380953,0.027142096860031932
train,12,1,279,330,117,0.41935483870967744,0.05854177754124534
train,12,2,225,858,120,0.5333333333333333,0.1522086216072379
train,12,3,375,267,177,0.472,0.04736562001064396
train,12,4,2529,501,339,0.13404507710557534,0.08887706226716338
train,12,5,378,720,117,0.30952380952380953,0.12772751463544438
train,12,6,384,1329,273,0.7109375,0.23576370409792444
train,12,7,1215,1479,1044,0.8592592592592593,0.26237360298030865
train,07,0,252,336,81,0.32142857142857145,0.04550995530272247
train,07,1,468,516,225,0.4807692307692308,0.06989028850060951
train,07,2,282,651,186,0.6595744680851063,0.08817553839902478
train,07,3,828,1077,549,0.6630434782608695,0.14587566030069077
train,07,4,2943,1557,1284,0.436289500509684,0.21088988216172289
train,07,5,639,1116,375,0.5868544600938967,0.15115806582689964
train,07,6,624,519,306,0.49038461538461536,0.07029662738724096
train,07,7,1347,1611,1071,0.7951002227171492,0.218203982121089
train,03,0,165,252,105,0.6363636363636364,0.044847837693539776
train,03,1,159,171,84,0.5283018867924528,0.030432461292044848
train,03,2,267,357,156,0.5842696629213483,0.06353443673251469
train,03,3,516,621,465,0.9011627906976745,0.11051788574479444
train,03,4,1986,969,846,0.4259818731117825,0.17245061398825415
train,03,5,636,405,171,0.2688679245283019,0.07207688200747464
train,03,6,324,708,210,0.6481481481481481,0.12600106780565937
train,03,7,1566,2136,1452,0.9272030651340997,0.3801388147357181
train,13,0,171,246,111,0.6491228070175439,0.0446866485013624
train,13,1,198,309,165,0.8333333333333334,0.0561307901907357
train,13,2,252,342,144,0.5714285714285714,0.06212534059945504
train,13,3,558,495,411,0.7365591397849462,0.08991825613079019
train,13,4,2448,1392,1338,0.5465686274509803,0.25286103542234334
train,13,5,396,192,39,0.09848484848484848,0.03487738419618529
train,13,6,384,1137,321,0.8359375,0.20653950953678474
train,13,7,1098,1392,975,0.8879781420765027,0.25286103542234334
train,11,0,288,420,195,0.6770833333333334,0.08115942028985507
