split,step,pure,support,correct,predicted_5,predicted_6,majority_disagrees,recall,predicted_6_rate
test,0,False,219,0,9,33,120,0.0,0.1506849315068493
test,0,True,33,0,0,12,0,0.0,0.36363636363636365
test,3,False,414,30,78,33,225,0.07246376811594203,0.07971014492753623
test,3,True,360,9,99,78,0,0.025,0.21666666666666667
test,5,False,333,21,21,33,162,0.06306306306306306,0.0990990990990991
test,5,True,243,63,63,120,0,0.25925925925925924,0.49382716049382713
test,6,False,360,72,21,72,126,0.2,0.2
test,6,True,162,57,21,57,0,0.35185185185185186,0.35185185185185186
train,0,False,2682,1299,39,42,1311,0.4843400447427293,0.015659955257270694
train,0,True,312,159,6,6,0,0.5096153846153846,0.019230769230769232
train,3,False,3741,2853,84,9,1866,0.7626303127506014,0.0024057738572574178
train,3,True,4206,3078,33,27,0,0.7318116975748931,0.006419400855920114
train,5,False,3666,966,966,1392,1674,0.2635024549918167,0.37970540098199673
train,5,True,2739,855,855,1020,0,0.312157721796276,0.3723986856516977
train,6,False,3636,2196,573,2196,1611,0.6039603960396039,0.6039603960396039
train,6,True,2208,1338,333,1338,0,0.6059782608695652,0.6059782608695652
val,0,False,435,27,3,18,183,0.06206896551724138,0.041379310344827586
val,0,True,36,9,0,0,0,0.25,0.0
val,3,False,432,60,60,84,219,0.1388888888888889,0.19444444444444445
val,3,True,1128,150,129,333,0,0.13297872340425532,0.29521276595744683
val,5,False,387,18,18,108,180,0.046511627906976744,0.27906976744186046
val,5,True,1080,327,327,348,0,0.30277777777777776,0.32222222222222224
val,6,False,492,249,39,249,189,0.5060975609756098,0.5060975609756098
val,6,True,270,90,66,90,0,0.3333333333333333,0.3333333333333333
