split,participant,step,pure,support,correct,predicted_5,predicted_6,majority_disagrees
test,02,0,False,219,0,9,33,120
test,02,0,True,33,0,0,12,0
test,02,3,False,414,30,78,33,225
test,02,3,True,360,9,99,78,0
test,02,5,False,333,21,21,33,162
test,02,5,True,243,63,63,120,0
test,02,6,False,360,72,21,72,126
test,02,6,True,162,57,21,57,0
train,03,0,False,165,105,0,0,75
train,03,3,False,318,294,0,0,156
train,03,3,True,198,171,0,0,0
train,03,5,False,336,72,72,138,153
train,03,5,True,300,99,99,171,0
train,03,6,False,276,183,60,183,120
train,03,6,True,48,27,0,27,0
train,04,0,False,111,60,0,0,57
train,04,3,False,315,234,12,9,162
train,04,3,True,261,183,0,9,0
train,04,5,False,297,45,45,210,144
train,04,5,True,27,0,0,27,0
train,04,6,False,333,312,0,312,171
train,04,6,True,72,63,0,63,0
train,05,0,False,312,51,0,36,171
train,05,0,True,18,3,0,0,0
train,05,3,False,279,219,0,0,135
train,05,3,True,342,309,0,0,0
train,05,5,False,288,54,54,60,153
train,05,5,True,243,51,51,144,0
train,05,6,False,324,261,6,261,135
train,05,6,True,270,213,54,213,0
train,06,0,False,231,117,3,0,99
train,06,0,True,36,6,0,0,0
train,06,3,False,342,231,12,0,189
train,06,3,True,90,24,0,0,0
train,06,5,False,324,66,66,96,153
train,06,5,True,234,81,81,84,0
train,06,6,False,351,195,39,195,159
train,06,6,True,315,195,45,195,0
train,07,0,False,243,81,21,0,126
train,07,0,True,9,0,0,0,0
train,07,3,False,414,285,33,0,189
train,07,3,True,414,264,12,0,0
train,07,5,False,279,147,147,48,108
train,07,5,True,360,228,228,57,0
train,07,6,False,297,120,87,120,90
train,07,6,True,327,186,84,186,0
train,08,0,False,99,42,0,0,90
train,08,3,False,324,204,15,0,126
train,08,3,True,369,267,3,0,0
train,08,5,False,243,69,69,63,99
train,08,5,True,180,51,51,114,0
train,08,6,False,243,144,3,144,99
train,08,6,True,216,168,6,168,0
train,09,0,False,216,54,0,0,99
train,09,0,True,54,3,0,0,0
train,09,3,False,270,261,0,0,153
train,09,3,True,342,312,0,0,0
train,09,5,False,333,75,75,165,153
train,09,5,True,270,90,90,114,0
train,09,6,False,324,96,57,96,162
train,09,6,True,144,57,21,57,0
train,10,0,False,369,255,9,0,171
train,10,0,True,81,66,3,6,0
train,10,3,False,369,342,3,0,207
train,10,3,True,1365,897,18,15,0
train,10,5,False,477,141,141,27,243
train,10,5,True,729,162,162,24,0
train,10,6,False,378,39,162,39,144
train,10,6,True,276,45,51,45,0
train,11,0,False,243,171,0,0,117
train,11,0,True,45,24,3,0,0
train,11,3,False,279,273,0,0,144
train,11,3,True,180,174,0,0,0
train,11,5,False,270,144,144,72,117
train,11,5,True,81,42,42,21,0
train,11,6,False,282,132,75,132,99
train,11,6,True,186,108,42,108,0
train,12,0,False,243,75,6,0,99
train,12,0,True,9,3,0,0,0
train,12,3,False,189,69,3,0,81
train,12,3,True,186,108,0,0,0
train,12,5,False,225,75,75,108,90
train,12,5,True,153,42,42,111,0
train,12,6,False,252,177,63,177,126
train,12,6,True,132,96,18,96,0
train,13,0,False,171,111,0,0,90
train,13,3,False,270,168,0,0,126
train,13,3,True,288,243,0,3,0
train,13,5,False,270,30,30,201,90
train,13,5,True,126,9,9,117,0
train,13,6,False,252,213,21,213,126
train,13,6,True,132,108,12,108,0
train,14,0,False,279,177,0,6,117
train,14,0,True,60,54,0,0,0
train,14,3,False,372,273,6,0,198
train,14,3,True,171,126,0,0,0
train,14,5,False,324,48,48,204,171
train,14,5,True,36,0,0,36,0
train,14,6,False,324,324,0,324,180
train,14,6,True,90,72,0,72,0
val,01,0,False,144,0,0,6,45
val,01,3,False,90,39,9,0,45
val,01,3,True,81,54,0,3,0
val,01,5,False,99,15,15,30,54
val,01,5,True,900,327,327,246,0
val,01,6,False,198,81,39,81,45
val,01,6,True,153,69,66,69,0
val,15,0,False,291,27,3,12,138
val,15,0,True,36,9,0,0,0
val,15,3,False,342,21,51,84,174
val,15,3,True,1047,96,129,330,0
val,15,5,False,288,3,3,78,126
val,15,5,True,180,0,0,102,0
val,15,6,False,294,168,0,168,144
val,15,6,True,117,21,0,21,0
